ID,FR,GB,PT,NL,DE
text_err_862_gauche_defaut,PW : Radiateur PW trop chaud,New Text,New Text,New Text,New Text
text_err_861_gauche_defaut,PW : IPM erreur échantillonnage,New Text,New Text,New Text,New Text
text_err_860_gauche_defaut,PW : Problème alimentation (phase manquante),New Text,New Text,New Text,New Text
text_err_859_gauche_defaut,PW : Surintensité compresseur,New Text,New Text,New Text,New Text
text_err_858_gauche_defaut,PW : Erreur pilotage compresseur,New Text,New Text,New Text,New Text
text_err_857_gauche_defaut,PW : IPM surintensité,New Text,New Text,New Text,New Text
text_err_806_gauche_defaut,Alerte : Température radiateur carte de puissance (UE),New Text,New Text,New Text,New Text
text_err_805_gauche_defaut,Alerte : Protection antigel (UE),New Text,New Text,New Text,New Text
text_err_804_gauche_defaut,Alerte : Température de condensation (UE),New Text,New Text,New Text,New Text
text_err_803_gauche_defaut,Alerte : Température de refoulement (UE),New Text,New Text,New Text,New Text
text_err_802_gauche_defaut,Alerte : Limite de courant atteinte (UE),New Text,New Text,New Text,New Text
text_err_800_gauche_defaut,Alerte : Sonde S1,New Text,New Text,New Text,New Text
text_err_767_gauche_defaut,Alerte : Vérifier la cahrge R134a,New Text,New Text,New Text,New Text
text_err_766_gauche_defaut,Alerte : Vérifier la charge R410A,New Text,New Text,New Text,New Text
text_err_765_gauche_defaut,Alerte : Détection défaut PAC à l'arrêt,New Text,New Text,New Text,New Text
text_err_764_gauche_defaut,Alerte : Maintenance,New Text,New Text,New Text,New Text
text_err_763_gauche_defaut,Alerte : Pressostat sécurité HP134,New Text,New Text,New Text,New Text
text_err_762_gauche_defaut,Alerte : Pressostat sécurité HP410,New Text,New Text,New Text,New Text
text_err_761_gauche_defaut,Alerte : Pression détendeur HP INT,New Text,New Text,New Text,New Text
text_err_760_gauche_defaut,Alerte : Pression HP compresseur 2,New Text,New Text,New Text,New Text
text_err_759_gauche_defaut,Alerte : Pression HP compresseur 1,New Text,New Text,New Text,New Text
text_err_758_gauche_defaut,Alerte : Pression BP compresseur 2,New Text,New Text,New Text,New Text
text_err_757_gauche_defaut,Alerte : Pression BP compresseur 1,New Text,New Text,New Text,New Text
text_err_756_gauche_defaut,Alerte : Sonde température frigo Spare,New Text,New Text,New Text,New Text
text_err_755_gauche_defaut,Alerte : Sonde température radiateur IGBT,New Text,New Text,New Text,New Text
text_err_754_gauche_defaut,Alerte : Sonde température TEV134,New Text,New Text,New Text,New Text
text_err_753_gauche_defaut,Alerte : Sonde température TSC410 B,New Text,New Text,New Text,New Text
text_err_752_gauche_defaut,Alerte : Sonde température TDS134,New Text,New Text,New Text,New Text
text_err_751_gauche_defaut,Alerte : Sonde température TSC410 A,New Text,New Text,New Text,New Text
text_err_750_gauche_defaut,Alerte : Sonde température TDS410,New Text,New Text,New Text,New Text
text_err_702_gauche_defaut,Alerte : Sonde température TEV OUT,New Text,New Text,New Text,New Text
text_err_701_gauche_defaut,Alerte : Sonde température TEV IN,New Text,New Text,New Text,New Text
text_err_700_gauche_defaut,Alerte : Sonde extérieure,New Text,New Text,New Text,New Text
text_err_698_gauche_defaut,Alerte : Réception RF Zone 8,New Text,New Text,New Text,New Text
text_err_697_gauche_defaut,Alerte : Réception RF Zone 7,New Text,New Text,New Text,New Text
text_err_696_gauche_defaut,Alerte : Réception RF Zone 6,New Text,New Text,New Text,New Text
text_err_695_gauche_defaut,Alerte : Réception RF Zone 5,New Text,New Text,New Text,New Text
text_err_694_gauche_defaut,Alerte : Réception RF Zone 4,New Text,New Text,New Text,New Text
text_err_693_gauche_defaut,Alerte : Réception RF Zone 3,New Text,New Text,New Text,New Text
text_err_692_gauche_defaut,Alerte : Réception RF Zone 2,New Text,New Text,New Text,New Text
text_err_691_gauche_defaut,Alerte : Réception RF Zone 1,New Text,New Text,New Text,New Text
text_err_688_gauche_defaut,Alerte : Pile RF Zone 8,New Text,New Text,New Text,New Text
text_err_687_gauche_defaut,Alerte : Pile RF Zone 7,New Text,New Text,New Text,New Text
text_err_686_gauche_defaut,Alerte : Pile RF Zone 6,New Text,New Text,New Text,New Text
text_err_685_gauche_defaut,Alerte : Pile RF Zone 5,New Text,New Text,New Text,New Text
text_err_684_gauche_defaut,Alerte : Pile RF Zone 4,New Text,New Text,New Text,New Text
text_err_683_gauche_defaut,Alerte : Pile RF Zone 3,New Text,New Text,New Text,New Text
text_err_682_gauche_defaut,Alerte : Pile RF Zone 2,New Text,New Text,New Text,New Text
text_err_681_gauche_defaut,Alerte : Pile RF Zone 1,New Text,New Text,New Text,New Text
text_err_680_gauche_defaut,Alerte : Sonde d'eau retour Groupe B,New Text,New Text,New Text,New Text
text_err_679_gauche_defaut,Alerte : Sonde d'eau retour Groupe A,New Text,New Text,New Text,New Text
text_err_678_gauche_defaut,Alerte : Sonde d'eau retour Zone 8,New Text,New Text,New Text,New Text
text_err_677_gauche_defaut,Alerte : Sonde d'eau retour Zone 7,New Text,New Text,New Text,New Text
text_err_676_gauche_defaut,Alerte : Sonde d'eau retour Zone 6,New Text,New Text,New Text,New Text
text_err_675_gauche_defaut,Alerte : Sonde d'eau retour Zone 5,New Text,New Text,New Text,New Text
text_err_674_gauche_defaut,Alerte : Sonde d'eau retour Zone 4,New Text,New Text,New Text,New Text
text_err_673_gauche_defaut,Alerte : Sonde d'eau retour Zone 3,New Text,New Text,New Text,New Text
text_err_672_gauche_defaut,Alerte : Sonde d'eau retour Zone 2,New Text,New Text,New Text,New Text
text_err_671_gauche_defaut,Alerte : Sonde d'eau retour Zone 1,New Text,New Text,New Text,New Text
text_err_670_gauche_defaut,Alerte : Sonde d'eau départ Groupe B,New Text,New Text,New Text,New Text
text_err_669_gauche_defaut,Alerte : Sonde d'eau départ Groupe A,New Text,New Text,New Text,New Text
text_err_668_gauche_defaut,Alerte : Sonde d'eau départ Zone 8,New Text,New Text,New Text,New Text
text_err_667_gauche_defaut,Alerte : Sonde d'eau départ Zone 7,New Text,New Text,New Text,New Text
text_err_666_gauche_defaut,Alerte : Sonde d'eau départ Zone 6,New Text,New Text,New Text,New Text
text_err_665_gauche_defaut,Alerte : Sonde d'eau départ Zone 5,New Text,New Text,New Text,New Text
text_err_664_gauche_defaut,Alerte : Sonde d'eau départ Zone 4,New Text,New Text,New Text,New Text
text_err_663_gauche_defaut,Alerte : Sonde d'eau départ Zone 3,New Text,New Text,New Text,New Text
text_err_662_gauche_defaut,Alerte : Sonde d'eau départ Zone 2,New Text,New Text,New Text,New Text
text_err_661_gauche_defaut,Alerte : Sonde d'eau départ Zone 1,New Text,New Text,New Text,New Text
text_err_658_gauche_defaut,Alerte : Sonde intérieure Zone 8 RF,New Text,New Text,New Text,New Text
text_err_657_gauche_defaut,Alerte : Sonde intérieure Zone 7 RF,New Text,New Text,New Text,New Text
text_err_656_gauche_defaut,Alerte : Sonde intérieure Zone 6 RF,New Text,New Text,New Text,New Text
text_err_655_gauche_defaut,Alerte : Sonde intérieure Zone 5 RF,New Text,New Text,New Text,New Text
text_err_654_gauche_defaut,Alerte : Sonde intérieure Zone 4 RF,New Text,New Text,New Text,New Text
text_err_653_gauche_defaut,Alerte : Sonde intérieure Zone 3 RF,New Text,New Text,New Text,New Text
text_err_652_gauche_defaut,Alerte : Sonde intérieure Zone 2 RF,New Text,New Text,New Text,New Text
text_err_651_gauche_defaut,Alerte : Sonde intérieure Zone 1 RF,New Text,New Text,New Text,New Text
text_err_650_gauche_defaut,Alerte : Capteur de débit Groupe B,New Text,New Text,New Text,New Text
